"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"acceleration of body x laying 1" "acceleration of body in direction x" "laying" "1" "0.22159824394" "-0.9280564692"
"acceleration of body x laying 2" "acceleration of body in direction x" "laying" "2" "0.281373403958333" "-0.974059464791667"
"acceleration of body x laying 3" "acceleration of body in direction x" "laying" "3" "0.275516852741935" "-0.982776639193548"
"acceleration of body x laying 4" "acceleration of body in direction x" "laying" "4" "0.263559214981481" "-0.954193738888889"
"acceleration of body x laying 5" "acceleration of body in direction x" "laying" "5" "0.278334325576923" "-0.965934509615385"
"acceleration of body x laying 6" "acceleration of body in direction x" "laying" "6" "0.248656520140351" "-0.934049422052632"
"acceleration of body x laying 7" "acceleration of body in direction x" "laying" "7" "0.250176694038462" "-0.93651361"
"acceleration of body x laying 8" "acceleration of body in direction x" "laying" "8" "0.261254282907407" "-0.94304121537037"
"acceleration of body x laying 9" "acceleration of body in direction x" "laying" "9" "0.2591955368" "-0.94233309"
"acceleration of body x laying 10" "acceleration of body in direction x" "laying" "10" "0.280230574137931" "-0.968283685"
"acceleration of body x laying 11" "acceleration of body in direction x" "laying" "11" "0.280592970877193" "-0.98477733"
"acceleration of body x laying 12" "acceleration of body in direction x" "laying" "12" "0.260113433" "-0.95531868"
"acceleration of body x laying 13" "acceleration of body in direction x" "laying" "13" "0.276716360483871" "-0.968891989354839"
"acceleration of body x laying 14" "acceleration of body in direction x" "laying" "14" "0.233275439803922" "-0.917501887333333"
"acceleration of body x laying 15" "acceleration of body in direction x" "laying" "15" "0.2894756525" "-0.972255551527778"
"acceleration of body x laying 16" "acceleration of body in direction x" "laying" "16" "0.274227162571429" "-0.973691429428571"
"acceleration of body x laying 17" "acceleration of body in direction x" "laying" "17" "0.269780085577465" "-0.972960567323944"
"acceleration of body x laying 18" "acceleration of body in direction x" "laying" "18" "0.274691576923077" "-0.984527649230769"
"acceleration of body x laying 19" "acceleration of body in direction x" "laying" "19" "0.272653733493976" "-0.965019579518072"
"acceleration of body x laying 20" "acceleration of body in direction x" "laying" "20" "0.239507882205882" "-0.962249114705882"
"acceleration of body x laying 21" "acceleration of body in direction x" "laying" "21" "0.271325472455556" "-0.955019866222222"
"acceleration of body x laying 22" "acceleration of body in direction x" "laying" "22" "0.279959721194444" "-0.947735251944444"
"acceleration of body x laying 23" "acceleration of body in direction x" "laying" "23" "0.274038007986111" "-0.956756363194444"
"acceleration of body x laying 24" "acceleration of body in direction x" "laying" "24" "0.272850494930556" "-0.967984021111111"
"acceleration of body x laying 25" "acceleration of body in direction x" "laying" "25" "0.250791828613699" "-0.909116474109589"
"acceleration of body x laying 26" "acceleration of body in direction x" "laying" "26" "0.271645864540789" "-0.969445445263158"
"acceleration of body x laying 27" "acceleration of body in direction x" "laying" "27" "0.274102492432432" "-0.978455153108108"
"acceleration of body x laying 28" "acceleration of body in direction x" "laying" "28" "0.2759134825" "-0.9688882955"
"acceleration of body x laying 29" "acceleration of body in direction x" "laying" "29" "0.287295196811594" "-0.984219555507246"
"acceleration of body x laying 30" "acceleration of body in direction x" "laying" "30" "0.281033900571429" "-0.976362515428571"
"acceleration of body x sitting 1" "acceleration of body in direction x" "sitting" "1" "0.261237565425532" "-0.977229008297872"
"acceleration of body x sitting 2" "acceleration of body in direction x" "sitting" "2" "0.27708735173913" "-0.986822279565217"
